admin0,admin1,date,cases,deaths
Ecuador,Zamora Chinchipe,7/4/2020,605,21
Ecuador,Azuay,8/4/2020,3604,91
Ecuador,Bolivar,8/4/2020,1164,52
Ecuador,Canar,8/4/2020,817,52
Ecuador,Carchi,8/4/2020,965,30
Ecuador,Chimborazo,8/4/2020,1548,225
Ecuador,Cotopaxi,8/4/2020,2181,168
Ecuador,El Oro,8/4/2020,3342,334
Ecuador,Esmeraldas,8/4/2020,3247,187
Ecuador,Galapagos,8/4/2020,103,1
Ecuador,Guayas,8/4/2020,17629,1657
Ecuador,Imbabura,8/4/2020,1541,75
Ecuador,Loja,8/4/2020,2793,98
Ecuador,Los Rios,8/4/2020,2899,316
Ecuador,Manabi,8/4/2020,6734,806
Ecuador,Morona Santiago,8/4/2020,2077,14
Ecuador,Napo,8/4/2020,947,49
Ecuador,Orellana,8/4/2020,1348,34
Ecuador,Pastaza,8/4/2020,1380,44
Ecuador,Pichincha,8/4/2020,15191,732
Ecuador,Santa Elena,8/4/2020,1158,331
Ecuador,Sto. Domingo Tsachilas,8/4/2020,3774,252
Ecuador,Sucumbios,8/4/2020,1357,53
Ecuador,Tungurahua,8/4/2020,2203,171
Ecuador,Zamora Chinchipe,8/4/2020,1005,36
Ecuador,Azuay,6/5/2020,987,36
Ecuador,Bolivar,6/5/2020,344,29
Ecuador,Canar,6/5/2020,366,32
Ecuador,Carchi,6/5/2020,171,12
Ecuador,Chimborazo,6/5/2020,458,117
Ecuador,Cotopaxi,6/5/2020,529,59
Ecuador,El Oro,6/5/2020,1278,194
Ecuador,Esmeraldas,6/5/2020,1104,93
Ecuador,Galapagos,6/5/2020,76,1
Ecuador,Guayas,6/5/2020,14326,1461
Ecuador,Imbabura,6/5/2020,234,14
Ecuador,Loja,6/5/2020,479,28
Ecuador,Los Rios,6/5/2020,1724,213
Ecuador,Manabi,6/5/2020,2696,484
Ecuador,Morona Santiago,6/5/2020,172,6
Ecuador,Napo,6/5/2020,286,21
Ecuador,Orellana,6/5/2020,295,6
Ecuador,Pastaza,6/5/2020,308,6
Ecuador,Pichincha,6/5/2020,4375,324
Ecuador,Santa Elena,6/5/2020,821,286
Ecuador,Sto. Domingo Tsachilas,6/5/2020,1158,81
Ecuador,Sucumbios,6/5/2020,137,7
Ecuador,Tungurahua,6/5/2020,551,77
Ecuador,Zamora Chinchipe,6/5/2020,275,5
Ecuador,Azuay,7/5/2020,1935,66
Ecuador,Bolivar,7/5/2020,755,41
Ecuador,Canar,7/5/2020,559,45
Ecuador,Carchi,7/5/2020,365,18
Ecuador,Chimborazo,7/5/2020,823,160
Ecuador,Cotopaxi,7/5/2020,1236,130
Ecuador,El Oro,7/5/2020,2173,275
Ecuador,Esmeraldas,7/5/2020,2207,145
Ecuador,Galapagos,7/5/2020,100,1
Ecuador,Guayas,7/5/2020,16104,1624
Ecuador,Imbabura,7/5/2020,716,42
Ecuador,Loja,7/5/2020,1095,47
Ecuador,Los Rios,7/5/2020,2417,274
Ecuador,Manabi,7/5/2020,4647,639
Ecuador,Morona Santiago,7/5/2020,1000,11
Ecuador,Napo,7/5/2020,653,37
Ecuador,Orellana,7/5/2020,838,20
Ecuador,Pastaza,7/5/2020,830,28
Ecuador,Pichincha,7/5/2020,8924,549
Ecuador,Santa Elena,7/5/2020,952,326
Ecuador,Sto. Domingo Tsachilas,7/5/2020,2294,150
Ecuador,Sucumbios,7/5/2020,521,21
Ecuador,Tungurahua,7/5/2020,1243,111
Ecuador,Zamora Chinchipe,7/5/2020,615,21
Ecuador,Azuay,8/5/2020,3740,93
Ecuador,Bolivar,8/5/2020,1165,52
Ecuador,Canar,8/5/2020,844,52
Ecuador,Carchi,8/5/2020,1017,30
Ecuador,Chimborazo,8/5/2020,1563,225
Ecuador,Cotopaxi,8/5/2020,2197,169
Ecuador,El Oro,8/5/2020,3346,336
Ecuador,Esmeraldas,8/5/2020,3260,189
Ecuador,Galapagos,8/5/2020,103,1
Ecuador,Guayas,8/5/2020,17669,1658
Ecuador,Imbabura,8/5/2020,1585,75
Ecuador,Loja,8/5/2020,2828,102
Ecuador,Los Rios,8/5/2020,2906,316
Ecuador,Manabi,8/5/2020,6757,807
Ecuador,Morona Santiago,8/5/2020,2093,14
